Время (с),Координата X (м),Координата Y (м),Координата Z (м)
345600.0,16089203.90580982,2782138.2867227397,20956449.313024834
345600.0,16089203.90580982,2782138.2867227397,20956449.313024834
345660.0,16129353.785083216,2936454.8193518226,20904467.85151366
345720.0,16169926.361838749,3090249.699941148,20850886.564131916
345780.0,16210914.6871864,3243510.4357611528,20795709.54929765
345840.0,16252311.679360496,3396224.626063063,20738941.027440082
345900.0,16294110.124938872,3548379.9639450517,20680585.340678792
345960.0,16336302.680085603,3699964.238203069,20620646.95249367
346020.0,16378881.871817531,3850965.335164317,20559130.447385654
346080.0,16421840.099294063,4001371.240505077,20496040.53052824
346140.0,16465169.63513024,4151170.04105038,20431382.02740989
346200.0,16508862.62673273,4300349.926557207,20365159.883467183
346260.0,16552911.097658422,4448899.191479784,20297379.16370896
346320.0,16597306.948995762,4596806.2367164865,20228045.052331284
346380.0,16642041.960768042,4744059.571339464,20157162.85232339
346440.0,16687107.793358987,4890647.814304593,20084737.98506459
346500.0,16732495.988959815,5036559.696143702,20010775.98991212
346560.0,16778197.973038122,5181784.060636808,19935282.5237801
346620.0,16824205.05582781,5326309.866465496,19858263.36070947
346680.0,16870508.433840033,5470126.188846685,19779724.391429033
346740.0,16917099.191395074,5613222.221145833,19699671.622907646
346800.0,16963968.30217448,5755587.276470863,19618111.17789749
346860.0,17011106.630793653,5897210.789244557,19535049.294468626
346920.0,17058504.934394106,6038082.316757346,19450492.32553462
346980.0,17106153.864255767,6178191.5406979425,19364446.7383696
347040.0,17154043.96742824,6317528.268663693,19276919.114116453
347100.0,17202165.688381672,6456082.43564871,19187916.147286348
347160.0,17250509.37067599,6593844.105510729,19097444.64524978
347220.0,17299065.258649062,6730803.472415491,19005511.527718782
347280.0,17347823.49912296,6866950.862259188,18912123.826220747
347340.0,17396774.14312804,7002276.734068463,18817288.683563653
347400.0,17445907.1476451,7136771.681377267,18721013.35329273
347460.0,17495212.377364427,7270426.433581281,18623305.199138846
347520.0,17544679.606462352,7403231.857268468,18524171.69445835
347580.0,17594298.520394176,7535178.957527121,18423620.42166456
347640.0,17644058.717703935,7666258.879229258,18321659.07165096
347700.0,17693949.711850025,7796462.908290812,18218295.443206158
347760.0,17743960.933046654,7925782.472907795,18113537.442420457
347820.0,17794081.730121173,8054209.1447675275,18007393.082084395
347880.0,17844301.37238603,8181734.640236317,17899870.48107901
347940.0,17894609.051526193,8308350.821521412,17790977.863758083
348000.0,17944993.883500576,8434049.697809258,17680723.559322197
348060.0,17995444.910458196,8558823.426377345,17569116.001185007
348120.0,18045951.102667715,8682664.313682148,17456163.72633123
348180.0,18096501.360461067,8805564.816420473,17341875.374666974
348240.0,18147084.516189776,8927517.542566098,17226259.68836207
348300.0,18197689.336194642,9048515.252379868,17109325.511184588
348360.0,18248304.522787694,9168550.859394256,16991081.787827615
348420.0,18298918.716246292,9287617.431372004,16871537.563228253
348480.0,18349520.496819492,9405708.191237725,16750701.981878968
348540.0,18400098.38674534,9522816.517983917,16628584.287131311
348600.0,18450640.852279983,9638935.947549604,16505193.820492098
348660.0,18501136.305736974,9754060.17367309,16380540.020911926
348720.0,18551573.107537568,9868183.048716765,16254632.424066488
348780.0,18601939.56827089,9981298.584465856,16127480.66163016
348840.0,18652223.95076371,10093400.952899667,15999094.460542466
348900.0,18702414.4721601,10204484.486935157,15869483.642267061
348960.0,18752499.30600955,10314543.681143854,15738658.122043626
349020.0,18802466.584364343,10423573.192440353,15606627.908132426
349080.0,18852304.399884716,10531567.840744207,15473403.10105178
349140.0,18902000.807952486,10638522.60961287,15338993.89280848
349200.0,18951543.828791834,10744432.646848053,15203410.566121096
349260.0,19000921.449597716,10849293.265072828,15066663.493636424
349320.0,19050121.626670707,10953099.942281924,14928763.137138909
349380.0,19099132.287558816,11055848.32236274,14789720.046753291
349440.0,19147941.333205104,11157534.215588912,14649544.860140424
349500.0,19196536.640101004,11258153.599085456,14508248.301686397
349560.0,19244906.062445447,11357702.6172649,14365841.18168493
349620.0,19293037.434308387,11456177.582235975,14222334.395513184
349680.0,19340918.571799666,11553574.974182658,14077738.922801055
349740.0,19388537.27524139,11649891.44171571,13932065.826593917
349800.0,19435881.331344884,11745123.802194595,13785326.25250896
349860.0,19482938.515390735,11839269.042021303,13637531.42788525
349920.0,19529696.593411945,11932324.316905437,13488692.660927344
349980.0,19576143.324380305,12024286.952099964,13338821.339842757
350040.0,19622266.462394446,12115154.442608928,13187928.931973279
350100.0,19668053.758870654,12204924.45336534,13036026.98292016
350160.0,19713492.964734558,12293594.819381388,12883127.115663193
350220.0,19758571.832614806,12381163.545868281,12729241.029674033
350280.0,19803278.11903684,12467628.808328822,12574380.500023223
350340.0,19847599.58661795,12552988.952619273,12418557.376481894
350400.0,19891524.006261654,12637242.494984021,12261783.582617208
350460.0,19935039.15935251,12720388.122059684,12104071.114882518
350520.0,19978132.83994978,12802424.69085148,11945432.041701462
350580.0,20020792.85698013,12883351.228680216,11785878.502546944
350640.0,20063007.036429342,12963166.933099944,11625422.707014285
350700.0,20104763.223531503,13041871.171787702,11464076.93388901
350760.0,20146049.284956846,13119463.482403032,11301853.530209525
350820.0,20186853.11099621,13195943.572420068,11138764.91032414
350880.0,20227162.61774335,13271311.31892957,10974823.554943144
350940.0,20266965.74927343,13345566.768412858,10810042.01018568
351000.0,20306250.479817815,13418710.13648713,10644432.886621406
351060.0,20345004.815935347,13490741.807621144,10478008.858307501
351120.0,20383216.798678383,13561662.334823593,10310782.661820285
351180.0,20420874.505754862,13631472.439301485,10142767.09528246
351240.0,20457966.053684358,13700173.010091381,9973975.017385146
351300.0,20494479.599949375,13767765.103660798,9804419.34640568
351360.0,20530403.345140092,13834249.943482272,9634113.059220267
351420.0,20565725.53509299,13899628.919578817,9463069.190312495
351480.0,20600434.46302295,13963903.588040836,9291300.830777254
351540.0,20634518.471648254,14027075.670515068,9118821.127320131
351600.0,20667965.95530804,14089147.053665614,8945643.281252623
351660.0,20700765.36207191,14150119.788607134,8771780.547483081
351720.0,20732905.19584189,14209996.090309378,8597246.233503485
351780.0,20764374.018445075,14268778.336975291,8422053.69837198
351840.0,20795160.45171828,14326469.0693899,8246216.351691718
351900.0,20825253.179582622,14383070.990243327,8069747.652585378
351960.0,20854640.950109217,14438586.96342489,7892661.108666128
